Timestamp,"Các bạn vui lòng chọn mức độ đồng ý của mình với mỗi câu nhận định sau đây (1 - rất không đồng ý, 5 - rất đồng ý):   [Tôi biết rõ về AR]",I. Độ quen thuộc với công nghệ và ứng dụng AR [1. Tôi quen thuộc với những công nghệ này],I. Độ quen thuộc với công nghệ và ứng dụng AR [2. Tôi đang sử dụng những công nghệ này trong cuộc sống hàng ngày],II. Sử dụng trong các lĩnh vực của cuộc sống (có thể chọn nhiều đáp án),III. Mức độ quen thuộc với các ứng dụng AR và phương pháp mua sắm khi sử dụng AR (các ứng dụng của AR được sử dụng trong mua sắm) [1. Môi trường mua sắm ảo],III. Mức độ quen thuộc với các ứng dụng AR và phương pháp mua sắm khi sử dụng AR (các ứng dụng của AR được sử dụng trong mua sắm) [2. Chuyến tham quan ảo],"III. Mức độ quen thuộc với các ứng dụng AR và phương pháp mua sắm khi sử dụng AR (các ứng dụng của AR được sử dụng trong mua sắm) [3. Hình dung, mô hình]",III. Mức độ quen thuộc với các ứng dụng AR và phương pháp mua sắm khi sử dụng AR (các ứng dụng của AR được sử dụng trong mua sắm) [4. Giả lập],I. Sự thích thú [1. Tôi nhận thấy mua hàng thời trang thông qua các ứng dụng thực tế ảo tăng cường thú vị.],I. Sự thích thú [2. Tôi nhận thấy quá trình mua hàng thông qua các ứng dụng thực tế ảo tăng cường khiến tôi hài lòng],I. Sự thích thú [3. Tôi cảm thấy vui vẻ khi sử dụng các ứng dụng thực tế ảo tăng cường trong quá trình mua hàng.],I. Sự thích thú [4. Tôi nhận thấy mua hàng thời trang thông qua các ứng dụng thực tế ảo tăng cường hấp dẫn.],II. Bản sắc xã hội [1. Sử dụng thực tế ảo tăng cường trong mua sắm thời trang khiến tôi cảm thấy bản thân được cảm nhận.],II. Bản sắc xã hội [2. Sử dụng thực tế ảo tăng cường trong mua sắm thời trang giúp cải thiện cách tôi nhận được khi mua hàng.],II. Bản sắc xã hội [3. Sử dụng thực tế ảo tăng cường trong mua sắm thời trang tạo ấn tượng tốt với người khác.],II. Bản sắc xã hội [4. Vai trò của tôi trong xã hội đòi hỏi phải sử dụng thực tế ảo tăng cường trong mua sắm thời trang.],III. Bản sắc cá nhân [1. Sử dụng thực tế ảo tăng cường trong mua sắm thời trang giúp tôi đạt được hình mẫu mà tôi hướng đến.],III. Bản sắc cá nhân [2. Sử dụng thực tế ảo tăng cường trong mua sắm thời trang giúp chúng ta giảm khoảng cách giữa giữa con người hiện tại của tôi và hình mẫu mà tôi mong muốn trở thành],III. Bản sắc cá nhân [3.  Sử dụng thực tế ảo tăng cường trong mua sắm thời trang là một phần hình mẫu của tôi.],IV. Dễ sử dụng [1. Tôi nghĩ rằng việc sử dụng ứng dụng thực tế ảo tăng cường rất dễ dàng],IV. Dễ sử dụng [2. Tôi nghĩ rất đơn giản để học cách sử dụng ứng dụng thực tế ảo tăng cường.],IV. Dễ sử dụng [3. Tôi nghĩ rằng nó không đòi hỏi nhiều nỗ lực để sử dụng một ứng dụng thực tế ảo tăng cường.],IV. Dễ sử dụng [4.  Tôi nghĩ rằng ứng dụng thực tế ảo tăng cường là rất rõ ràng và dễ hiểu.],V. Lợi ích [1. Tôi có thể cải thiện quy trình mua hàng thời trang với một ứng dụng thực tế ảo tăng cường.],V. Lợi ích [2. Quá trình mua hàng thời trang của tôi sẽ hiệu quả hơn khi áp dụng ứng dụng thực tế ảo tăng cường],V. Lợi ích [3. Thực tế ảo tăng cường sẽ hữu ích khi mua hàng thời trang],V. Lợi ích [4. Thực tế ảo tăng cường sẽ cải thiện khả năng của tôi khi mua hàng trực tuyến.],VI. Thái độ [1. Tôi thích ý tưởng mua hàng thời trang với thực tế ảo tăng cường.],VI. Thái độ [2. Tôi nghĩ rằng đó là một ý kiến hay khi mua hàng thời trang với thực tế ảo tăng cường.],VI. Thái độ [3. Tôi có một cái nhìn thích thú với việc mua hàng thời trang với thực tế ảo tăng cường],VII. Giá trị [1. Ứng dụng thực tế ảo tăng cường có thể mang lại lợi ích cho tôi nhiều hơn so với mức cần.],VII. Giá trị [2. Các ứng dụng thực tế ảo tăng cường phải xứng đáng đối với tôi so với sự yêu cầu được nhận lại.],"VII. Giá trị [3.  Nhìn chung, các ứng dụng thực tế ảo tăng cường đều mang giá trị tốt.]",VIII.  Sự vui vẻ [1. Sử dụng các ứng dụng thực tế ảo tăng cường trong mua sắm thời trang rất vui.],VIII.  Sự vui vẻ [2. Sử dụng các ứng dụng thực tế ảo tăng cường trong mua sắm thời trang rất hứng thú .],VIII.  Sự vui vẻ [3. Sử dụng các ứng dụng thực tế ảo tăng cường trong mua sắm thời trang rất giải trí.],IX.  Ý định sử dụng [1. Tôi sẽ xem xét thực tế ảo tăng cường khi mua hàng thời trang.],IX.  Ý định sử dụng [2. Tôi sẽ sử dụng thực tế ảo tăng cường thường xuyên trong mua hàng thời trang trong tương lai.],IX.  Ý định sử dụng [3. Tôi nghĩ sẽ rất đáng để tôi sử dụng thực tế ảo tăng cường trong mua hàng thời trang.],IX.  Ý định sử dụng [4. Tôi dự định chi nhiều tiền hơn khi mua hàng thời trang với thực tế ảo tăng cường.],Gender,Age,Location
13/10/2022 11:08:13,4,3,3,Du lịch ảo / trải nghiệm,3,3,3,3,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,nam,Trên 40 tuổi,miền Bắc
13/10/2022 13:29:22,3,3,3,Mua sắm,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nữ,20 đến 29 tuổi,miền Bắc
13/10/2022 21:37:46,5,5,5,"Học tập, giáo dục",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nam,Trên 40 tuổi,miền Bắc
14/10/2022 12:31:04,3,3,3,"Giải trí, Mua sắm thời trang",2,2,2,2,4,4,5,5,3,5,4,3,3,2,2,3,5,4,4,4,4,4,4,4,4,4,4,3,5,5,5,5,5,5,5,5,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 12:37:35,4,1,1,"Giải trí, Du lịch ảo / trải nghiệm, Học tập, giáo dục, Mua sắm thời trang",1,2,4,4,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 12:45:53,5,2,2,Giải trí,1,2,2,2,5,5,5,5,5,5,5,5,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 12:53:35,5,4,4,"Giải trí, Du lịch ảo / trải nghiệm, Học tập, giáo dục",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 13:16:18,2,4,3,"Giải trí, Du lịch ảo / trải nghiệm, Học tập, giáo dục, Mua sắm thời trang",4,4,3,3,4,4,4,5,3,3,4,2,3,3,2,3,2,4,2,2,3,4,5,5,5,4,3,4,5,4,3,5,4,3,5,2,nữ,30 đến 39 tuổi,miền Bắc
14/10/2022 13:16:29,4,3,3,"Giải trí, Du lịch ảo / trải nghiệm, Học tập, giáo dục, Mua sắm thời trang",4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,nữ,20 đến 29 tuổi,miền Bắc
14/10/2022 13:21:23,4,2,2,"Giải trí, Mua sắm thời trang",1,2,1,1,2,3,2,3,2,3,3,2,3,3,2,2,2,3,4,2,2,4,2,2,3,2,2,4,2,2,3,4,2,3,2,4,nam,30 đến 39 tuổi,miền Bắc
14/10/2022 13:23:49,2,1,1,"Du lịch ảo / trải nghiệm, Mua sắm thời trang",2,3,3,3,4,3,3,4,3,3,2,3,2,3,3,2,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,3,3,3,3,nam,30 đến 39 tuổi,miền Bắc
14/10/2022 13:27:31,5,3,2,"Giải trí, Du lịch ảo / trải nghiệm, Học tập, giáo dục",2,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,nam,30 đến 39 tuổi,miền Bắc
14/10/2022 13:29:37,3,3,1,"Giải trí, Du lịch ảo / trải nghiệm, Mua sắm thời trang",4,2,5,5,4,3,4,4,3,3,2,1,4,4,1,4,3,1,3,3,2,3,3,3,4,4,4,3,4,3,3,4,4,2,3,2,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 13:43:11,5,5,5,"Giải trí, Du lịch ảo / trải nghiệm, Mua sắm thời trang",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,nam,Trên 40 tuổi,miền Bắc
14/10/2022 13:47:23,5,4,4,"Giải trí, Du lịch ảo / trải nghiệm, Mua sắm thời trang, Khác",4,4,4,4,4,3,3,3,2,3,3,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nữ,30 đến 39 tuổi,miền Bắc
14/10/2022 14:01:19,3,2,1,"Giải trí, Du lịch ảo / trải nghiệm",1,1,1,1,3,2,2,2,2,2,2,2,3,3,2,2,3,2,2,3,2,2,2,2,2,3,2,2,2,2,2,3,1,4,4,3,nam,20 đến 29 tuổi,miền Bắc
14/10/2022 14:02:31,3,3,3,"Học tập, giáo dục, Mua sắm thời trang",4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,nam,20 đến 29 tuổi,miền Bắc
30/10/2022 22:55:14,2,1,1,Khác,1,1,1,1,5,5,5,5,4,5,4,4,4,5,4,4,5,4,4,5,5,5,5,4,4,4,5,4,4,5,4,4,5,5,5,4,nữ,30 đến 39 tuổi,miền Trung
